CourseID,Rule,Num_Violations
6hrs per day,UTACMME_YR2_2024/5,1.0
6hrs per day,UTMAHCLAAH1F_YR2_2024/5,1.0
6hrs per day,UTSETAR_YR2_2024/5,1.0
6hrs per day,UTBAHINART1F_YR3_2024/5,1.0
6hrs per day,UTBAHPAINT1F_YR3_2024/5,1.0
6hrs per day,UTBAHPHOTO1F_YR3_2024/5,1.0
6hrs per day,UTBAHSCULP1F_YR3_2024/5,1.0
6hrs per day,UTBMEBIOCH1F_YR3_2024/5,1.0
6hrs per day,UTBSBCH_YR4_2024/5,1.0
6hrs per day,UTBSVBIOCH1F_YR3_2024/5,1.0
6hrs per day,UTMAHIBUCH1F_YR2_2024/5,1.0
6hrs per day,UTMAHIBUJA1F_YR2_2024/5,1.0
6hrs per day,UTMLGRU_YR2_2024/5,1.0
6hrs per day,UTMLRSS_YR2_2024/5,1.0
6hrs per day,UTRUSST_YR2_2024/5,1.0
6hrs per day,UTMLRSP_YR2_2024/5,1.0
6hrs per day,UTGGPEC_YR2_2024/5,1.0
6hrs per day,UTGGPHYMAH_YR2_2024/5,1.0
6hrs per day,UTGGPHY_YR2_2024/5,1.0
6hrs per day,UTARAFR_YR2_2024/5,1.0
6hrs per day,UTARASP_YR2_2024/5,1.0
6hrs per day,UTAICSC_YR1_2024/5,1.0
6hrs per day,UTAINTL_YR1_2024/5,1.0
6hrs per day,UTCMPMA_YR1_2024/5,1.0
6hrs per day,UTCMPSIBE_YR1_2024/5,1.0
6hrs per day,UTCMPSI_YR1_2024/5,1.0
6hrs per day,UTINFMT_YR1_2024/5,1.0
6hrs per day,UTSWENG_YR1_2024/5,1.0
6hrs per day,UTGERENG_YR1_2024/5,1.0
6hrs per day,UTGERLI_YR1_2024/5,1.0
6hrs per day,UTITAENG_YR1_2024/5,1.0
6hrs per day,UTITALI_YR1_2024/5,1.0
6hrs per day,UTRUSENG_YR1_2024/5,1.0
6hrs per day,UTRUSLI_YR1_2024/5,1.0
6hrs per day,UTSPALI_YR1_2024/5,1.0
6hrs per day,PTMSCMARSP1F_YR1_2024/5,1.0
6hrs per day,PRMSCECNSH1F_YR1_2024/5,1.0
6hrs per day,PRMSCECNSH1P_YR1_2024/5,1.0
6hrs per day,PRMSCECNSH1P_YR2_2024/5,1.0
6hrs per day,UTPHIEL_YR3_2024/5,1.0
6hrs per day,UTPHIGR_YR3_2024/5,1.0
6hrs per day,UTPHILI_YR3_2024/5,1.0
6hrs per day,UTPHILY_YR3_2024/5,1.0
6hrs per day,UTBMEBIOLS1F_YR3_2024/5,1.0
6hrs per day,UTSOPPS_YR4_2024/5,1.0
6hrs per day,UTSANDE_YR2_2024/5,1.0
6hrs per day,UTFITEEBAH_YR2_2024/5,1.0
6hrs per day,UTFITEEBAH_YR3_2024/5,1.0
6hrs per day,UTITAEL_YR1_2024/5,1.0
6hrs per day,UTGGPAR_YR4_2024/5,1.0
6hrs per day,UTGGPHY_YR4_2024/5,1.0
6hrs per day,UTGGPPO_YR4_2024/5,1.0
6hrs per day,UTFREHA_YR1_2024/5,1.0
6hrs per day,UTGERHA_YR1_2024/5,1.0
6hrs per day,UTHOACH_YR2_2024/5,1.0
6hrs per day,UTHOAHM_YR2_2024/5,1.0
6hrs per day,UTBSCDATSC1F_YR4_2024/5,1.0
6hrs per day,PTMSCAFRID1F_YR1_2024/5,1.0
6hrs per day,PTMSCCSEAD1P_YR1_2024/5,1.0
6hrs per day,UTMAPYB_YR1_2024/5,1.0
6hrs per day,UTMAPYM_YR1_2024/5,1.0
6hrs per day,UTARCSA_YR1_2024/5,1.0
6hrs per day,UTSANSP_YR1_2024/5,1.0
6hrs per day,UTENLGE_YR1_2024/5,1.0
6hrs per day,UTRUSEL_YR1_2024/5,1.0
6hrs per day,UTSPAEL_YR1_2024/5,1.0
6hrs per day,UTAINTL_YR2_2024/5,1.0
6hrs per day,UTARCSA_YR2_2024/5,1.0
6hrs per day,PRPHDROBAS3F_YR1_2024/5,1.0
6hrs per day,PRPHDROBAS4F_YR1_2024/5,1.0
6hrs per day,UTMAHGOVPS1F_YR1_2024/5,1.0
6hrs per day,UTMAHGPSQM1F_YR1_2024/5,1.0
6hrs per day,UTMAHSOPQM1F_YR1_2024/5,1.0
6hrs per day,UTSOPEC_YR1_2024/5,1.0
6hrs per day,UTSOPPS_YR1_2024/5,1.0
6hrs per day,PTMSCLANWE1F_YR1_2024/5,1.0
6hrs per day,UTRUSEL_YR4_2024/5,1.0
6hrs per day,PTMSCPERPS1F_YR1_2024/5,1.0
6hrs per day,PTMSCPERPS1P_YR1_2024/5,1.0
6hrs per day,UTFRESY_YR1_2024/5,1.0
6hrs per day,UTSCYGY_YR4_2024/5,1.0
6hrs per day,UTMAHIBUGE1F_YR2_2024/5,2.0
6hrs per day,UTMAHIBUIT1F_YR2_2024/5,2.0
6hrs per day,UTMAHACCBU1F_YR1_2024/5,2.0
6hrs per day,UTCELEL_YR1_2024/5,2.0
6hrs per day,UTMAHCELSL1F_YR1_2024/5,2.0
6hrs per day,UTANHLT_YR1_2024/5,2.0
6hrs per day,UTCLARL_YR1_2024/5,2.0
6hrs per day,UTCLSST_YR1_2024/5,2.0
6hrs per day,UTDIVCL_YR1_2024/5,2.0
6hrs per day,UTMLCSS_YR1_2024/5,2.0
6hrs per day,PTMSCMGMNT1F_YR1_2024/5,2.0
6hrs per day,UTENGLT_YR2_2024/5,2.0
6hrs per day,UTENGSL_YR2_2024/5,2.0
6hrs per day,PTMARTDESI1F_YR1_2024/5,2.0
6hrs per day,UTPYCHL_YR1_2024/5,2.0
6hrs per day,UTSETEL_YR1_2024/5,2.0
6hrs per day,PTMSCDIGSO2P_YR2_2024/5,2.0
6hrs per day,PTMSCSANPY1F_YR1_2024/5,2.0
6hrs per day,PTMSCSANPY1P_YR1_2024/5,2.0
6hrs per day,PTMSCSANPY1P_YR2_2024/5,2.0
6hrs per day,UTENGSL_YR1_2024/5,2.0
6hrs per day,UTSETET_YR1_2024/5,2.0
6hrs per day,UTMAHPORGE1F_YR2_2024/5,2.0
6hrs per day,UTMAHPORTU1F_YR2_2024/5,2.0
6hrs per day,UTSPAPG_YR2_2024/5,2.0
6hrs per day,PTMSCCOMAF1P_YR2_2024/5,2.0
6hrs per day,PTMSCDDITB1F_YR1_2024/5,2.0
6hrs per day,PTPGDDDITB1F_YR1_2024/5,2.0
6hrs per day,UTECNMA_YR1_2024/5,2.0
6hrs per day,UTECNST_YR1_2024/5,2.0
6hrs per day,UTBSCACMUT1F_YR2_2024/5,2.0
6hrs per day,UTARHIA_YR1_2024/5,2.0
6hrs per day,PTMSCHPCDS1F_YR1_2024/5,2.0
6hrs per day,PTMSCHPCMP1F_YR1_2024/5,2.0
6hrs per day,UTECNMS_YR2_2024/5,2.0
6hrs per day,UTLAWSA_YR3_2024/5,2.0
6hrs per day,UTBSCENVGS1F_YR4_2024/5,2.0
6hrs per day,UTENVGE_YR4_2024/5,2.0
6hrs per day,UTACCFIMAH_YR3_2024/5,3.0
6hrs per day,UTANMEH_YR2_2024/5,3.0
6hrs per day,UTMAHIBUSP1F_YR2_2024/5,3.0
6hrs per day,UTCELEN_YR1_2024/5,3.0
6hrs per day,UTCELLI_YR1_2024/5,3.0
6hrs per day,UTRELEL_YR2_2024/5,3.0
6hrs per day,UTLINSA_YR1_2024/5,3.0
6hrs per day,UTMBCHBHCP1F_YR4_2024/5,3.0
6hrs per day,UTMBCHBMDC1F_YR5_2024/5,3.0
6hrs per day,UTBMECELBI1F_YR3_2024/5,3.0
6hrs per day,UTBMEMOLBI1F_YR3_2024/5,3.0
6hrs per day,UTBSBCB_YR4_2024/5,3.0
6hrs per day,UTBSMOL_YR4_2024/5,3.0
6hrs per day,PTMSCECOEC2P_YR2_2024/5,3.0
6hrs per day,UTFREPO_YR1_2024/5,3.0
6hrs per day,UTSCYPO_YR1_2024/5,3.0
6hrs per day,UTSPAPO_YR1_2024/5,3.0
6hrs per day,UTSCSSY_YR2_2024/5,3.0
6hrs per day,UTNURSING01F_YR4_2024/5,3.0
6hrs per day,UTHOAAH_YR2_2024/5,3.0
6hrs per day,UTPGDEPRIE1F_YR1_2024/5,3.0
6hrs per day,UTHOASL_YR2_2024/5,3.0
6hrs per day,UTFRENC_YR2_2024/5,3.0
6hrs per day,UTMLFGR_YR2_2024/5,3.0
6hrs per day,UTMLFSS_YR2_2024/5,3.0
6hrs per day,PTMSCANBGE1P_YR1_2024/5,3.0
6hrs per day,PTMSCEVOGE1P_YR1_2024/5,3.0
6hrs per day,PTMSCHCTGE1P_YR1_2024/5,3.0
6hrs per day,PTMSCQUGGA2P_YR1_2024/5,3.0
6hrs per day,PTPGDANBGE1F_YR1_2024/5,3.0
6hrs per day,PTPGDEVOGE1F_YR1_2024/5,3.0
6hrs per day,PTPGDHCTGE1F_YR1_2024/5,3.0
6hrs per day,PTPGDQUGGA1F_YR1_2024/5,3.0
6hrs per day,PTMSCINTRE1P_YR2_2024/5,3.0
6hrs per day,UTCOPHB_YR3_2024/5,3.0
6hrs per day,UTCOPHM_YR3_2024/5,3.0
6hrs per day,UTACCFIMAH_YR2_2024/5,3.0
6hrs per day,UTMAHSOCQM1F_YR4_2024/5,3.0
6hrs per day,UTCLSST_YR2_2024/5,4.0
6hrs per day,UTDIVCL_YR2_2024/5,4.0
6hrs per day,UTJAPLI_YR2_2024/5,4.0
6hrs per day,UTBSCMATBU1F_YR1_2024/5,4.0
6hrs per day,PTMSCMEDCH1F_YR1_2024/5,4.0
6hrs per day,PRMSCCOUST1F_YR1_2024/5,4.0
6hrs per day,PRMSCCOUST1P_YR1_2024/5,4.0
6hrs per day,PRMSCHEHUA2P_YR1_2024/5,4.0
6hrs per day,UTMEPGEOGP1F_YR5_2024/5,4.0
6hrs per day,UTMESGPGPP1F_YR5_2024/5,4.0
6hrs per day,UTMLFIT_YR2_2024/5,4.0
6hrs per day,UTAPMAT_YR2_2024/5,4.0
6hrs per day,UTMATHB_YR2_2024/5,4.0
6hrs per day,UTMATST_YR2_2024/5,4.0
6hrs per day,UTMMAAPPMA1F_YR2_2024/5,4.0
6hrs per day,UTMMATHEMA1F_YR2_2024/5,4.0
6hrs per day,UTAPMAT_YR1_2024/5,4.0
6hrs per day,UTMATHB_YR1_2024/5,4.0
6hrs per day,UTMATHM_YR1_2024/5,4.0
6hrs per day,UTMATST_YR1_2024/5,4.0
6hrs per day,UTMMAAPPMA1F_YR1_2024/5,4.0
6hrs per day,UTMMATHEMA1F_YR1_2024/5,4.0
6hrs per day,UTPHITH_YR3_2024/5,4.0
6hrs per day,UTGERPO_YR1_2024/5,4.0
6hrs per day,UTGERSY_YR2_2024/5,4.0
6hrs per day,UTLAWEC_YR4_2024/5,4.0
6hrs per day,UTGERENG_YR2_2024/5,4.0
6hrs per day,UTGERLI_YR2_2024/5,4.0
6hrs per day,UTSCANENG_YR2_2024/5,4.0
6hrs per day,UTSCSLI_YR2_2024/5,4.0
6hrs per day,PTMSCCOMAF1F_YR1_2024/5,4.0
6hrs per day,PTMSCANBGE1F_YR1_2024/5,4.0
6hrs per day,PTMSCEVOGE1F_YR1_2024/5,4.0
6hrs per day,PTMSCHCTGE1F_YR1_2024/5,4.0
6hrs per day,PTMSCQUGGA1F_YR1_2024/5,4.0
6hrs per day,PTMSCGISCI1F_YR1_2024/5,4.0
6hrs per day,UTBSCACMUT1F_YR1_2024/5,4.0
6hrs per day,PTMSCBIOCH1F_YR1_2024/5,4.0
6hrs per day,PTPGDBIOCH2F_YR1_2024/5,4.0
6hrs per day,UTSOPSO_YR1_2024/5,4.0
6hrs per day,UTANHIS_YR2_2024/5,5.0
6hrs per day,UTGREEK_YR2_2024/5,5.0
6hrs per day,UTLATIN_YR2_2024/5,5.0
6hrs per day,UTCHNLN_YR1_2024/5,5.0
6hrs per day,UTJAPLI_YR1_2024/5,5.0
6hrs per day,UTACMME_YR1_2024/5,5.0
6hrs per day,UTMAHARANH1F_YR1_2024/5,5.0
6hrs per day,UTMLCFR_YR1_2024/5,5.0
6hrs per day,UTMLCSP_YR1_2024/5,5.0
6hrs per day,UTBSCGPHGE1F_YR4_2024/5,5.0
6hrs per day,UTGEOGEO_YR4_2024/5,5.0
6hrs per day,UTMEPGEOGE1F_YR4_2024/5,5.0
6hrs per day,UTMESGPHGE1F_YR4_2024/5,5.0
6hrs per day,UTITAENG_YR2_2024/5,5.0
6hrs per day,UTITALI_YR2_2024/5,5.0
6hrs per day,UTECNES_YR2_2024/5,5.0
6hrs per day,UTHOAEL_YR3_2024/5,5.0
6hrs per day,UTHOASL_YR3_2024/5,5.0
6hrs per day,UTARASA_YR2_2024/5,5.0
6hrs per day,UTPRSSA_YR2_2024/5,5.0
6hrs per day,PTMSCFINMO1P_YR2_2024/5,5.0
6hrs per day,UTBMEMOLGE1F_YR3_2024/5,5.0
6hrs per day,PRMSCINEUS1F_YR1_2024/5,5.0
6hrs per day,PRMSCSCTST1P_YR1_2024/5,5.0
6hrs per day,PRMSCSCTST1P_YR2_2024/5,5.0
6hrs per day,UTITAPO_YR1_2024/5,5.0
6hrs per day,UTRUSPO_YR1_2024/5,5.0
6hrs per day,PTMSCANCHE1F_YR1_2024/5,5.0
6hrs per day,PTMSCMACHE1F_YR1_2024/5,5.0
6hrs per day,UTRELEL_YR1_2024/5,5.0
6hrs per day,UTRELSLMAH_YR1_2024/5,5.0
6hrs per day,UTLAWEC_YR3_2024/5,5.0
6hrs per day,UTMAHPORFR1F_YR2_2024/5,5.0
6hrs per day,UTCELFRMAH_YR2_2024/5,5.0
6hrs per day,UTMLFSP_YR2_2024/5,5.0
6hrs per day,UTSPALI_YR2_2024/5,5.0
6hrs per day,UTBNGELCOS1F_YR2_2024/5,5.0
6hrs per day,UTELECS_YR2_2024/5,5.0
6hrs per day,UTENLHI_YR3_2024/5,5.0
6hrs per day,UTSLHISMAH_YR3_2024/5,5.0
6hrs per day,UTSLUHSMAH_YR3_2024/5,5.0
6hrs per day,UTLINSA_YR3_2024/5,5.0
6hrs per day,UTSENAB_YR1_2024/5,6.0
6hrs per day,UTSENAM_YR1_2024/5,6.0
6hrs per day,UTMLCGE_YR1_2024/5,6.0
6hrs per day,UTMLFRU_YR2_2024/5,6.0
6hrs per day,UTRUSENG_YR2_2024/5,6.0
6hrs per day,UTRUSLI_YR2_2024/5,6.0
6hrs per day,UTRUSSY_YR2_2024/5,6.0
6hrs per day,UTSEYSHMAH_YR1_2024/5,6.0
6hrs per day,UTCEASHMAH_YR2_2024/5,6.0
6hrs per day,UTPRSELMAH_YR1_2024/5,6.0
6hrs per day,PRMSCBIOAI1F_YR1_2024/5,6.0
6hrs per day,PRMSCBIOAI2F_YR1_2024/5,6.0
6hrs per day,PTMNNURPRA1F_YR1_2024/5,6.0
6hrs per day,PRMSCSCTST1F_YR1_2024/5,6.0
6hrs per day,UTBSCECOLE1F_YR1_2024/5,6.0
6hrs per day,UTMAHPOREN1F_YR2_2024/5,6.0
6hrs per day,UTMAHPORLI1F_YR2_2024/5,6.0
6hrs per day,UTPORSL_YR2_2024/5,6.0
6hrs per day,UTPYCHL_YR2_2024/5,6.0
6hrs per day,UTCMPMA_YR2_2024/5,6.0
6hrs per day,PTMSCGISCI1P_YR1_2024/5,6.0
6hrs per day,UTFREEL_YR4_2024/5,6.0
6hrs per day,PTMSCSSBIO1F_YR1_2024/5,6.0
6hrs per day,PTPGDSSBIO1F_YR1_2024/5,6.0
6hrs per day,UTPGDEBIOL1F_YR1_2024/5,7.0
6hrs per day,UTPGDECHEM1F_YR1_2024/5,7.0
6hrs per day,UTPGDEPHYS1F_YR1_2024/5,7.0
6hrs per day,UTMAHARANH1F_YR2_2024/5,7.0
6hrs per day,UTCEASHMAH_YR1_2024/5,7.0
6hrs per day,UTMLCIT_YR1_2024/5,7.0
6hrs per day,UTRUSCL_YR1_2024/5,7.0
6hrs per day,PTMSCDESIN1F_YR1_2024/5,7.0
6hrs per day,UTMATPH_YR3_2024/5,7.0
6hrs per day,PTMSCDIGSO2F_YR1_2024/5,7.0
6hrs per day,PTMSCDIGSO2P_YR1_2024/5,7.0
6hrs per day,PTMSCINTRE1F_YR1_2024/5,7.0
6hrs per day,PTMSCINTRE1P_YR1_2024/5,7.0
6hrs per day,PTMSCNATGP1F_YR1_2024/5,7.0
6hrs per day,PTMSCNATGP1P_YR2_2024/5,7.0
6hrs per day,PTMARTFIDI1F_YR1_2024/5,7.0
6hrs per day,UTLAWSA_YR4_2024/5,7.0
6hrs per day,UTPRSSA_YR3_2024/5,7.0
6hrs per day,UTPRSSA_YR4_2024/5,7.0
6hrs per day,PTMSCAPENH2F_YR1_2024/5,7.0
6hrs per day,UTMPHYPHYM1F_YR3_2024/5,7.0
6hrs per day,UTMPHYPHYY1F_YR3_2024/5,7.0
6hrs per day,UTPHYME_YR3_2024/5,7.0
6hrs per day,UTPHYSB_YR3_2024/5,7.0
6hrs per day,UTPHYSM_YR3_2024/5,7.0
6hrs per day,PTMSCAABAW1P_YR1_2024/5,7.0
6hrs per day,PTMSCAABAW2P_YR1_2024/5,7.0
6hrs per day,PTMARTILLU1F_YR1_2024/5,7.0
6hrs per day,UTPECOEBAH_YR3_2024/5,7.0
6hrs per day,PTMLALANDS1F_YR1_2024/5,8.0
6hrs per day,UTHOACH_YR1_2024/5,8.0
6hrs per day,UTMAHIBUFR1F_YR2_2024/5,8.0
6hrs per day,UTMAHARABU1F_YR4_2024/5,8.0
6hrs per day,UTCMPPH_YR1_2024/5,8.0
6hrs per day,UTCOPHB_YR1_2024/5,8.0
6hrs per day,UTCOPHM_YR1_2024/5,8.0
6hrs per day,PTPGDPROLP1P_YR1_2024/5,8.0
6hrs per day,UTBMEGENET1F_YR3_2024/5,8.0
6hrs per day,UTBSGEN_YR4_2024/5,8.0
6hrs per day,PTMSCGLEPS1F_YR1_2024/5,8.0
6hrs per day,PTMSCGLEPS1P_YR1_2024/5,8.0
6hrs per day,PTMSCGLEPS1P_YR2_2024/5,8.0
6hrs per day,UTSOPSO_YR2_2024/5,8.0
6hrs per day,PRPHDOHMDI1F_YR1_2024/5,8.0
6hrs per day,UTPHIEC_YR2_2024/5,8.0
6hrs per day,UTPHIGR_YR2_2024/5,8.0
6hrs per day,UTPHILY_YR2_2024/5,8.0
6hrs per day,UTASPHB_YR3_2024/5,8.0
6hrs per day,UTASPHM_YR3_2024/5,8.0
6hrs per day,PTMSCADTFC1F_YR1_2024/5,8.0
6hrs per day,PTMSCENVDE2P_YR2_2024/5,8.0
6hrs per day,UTPGDEDETE1F_YR1_2024/5,9.0
6hrs per day,UTCMPMS_YR1_2024/5,9.0
6hrs per day,UTPHIGR_YR1_2024/5,9.0
6hrs per day,UTHOAEL_YR2_2024/5,9.0
6hrs per day,UTSCSET_YR2_2024/5,9.0
6hrs per day,UTELECS_YR5_2024/5,9.0
6hrs per day,UTENGLT_YR1_2024/5,9.0
6hrs per day,PTMSCSTATO1P_YR2_2024/5,9.0
6hrs per day,PTMNNURPRA1F_YR2_2024/5,9.0
6hrs per day,PTMSCECOEC1P_YR2_2024/5,9.0
6hrs per day,UTASPHB_YR2_2024/5,9.0
6hrs per day,UTASPHM_YR2_2024/5,9.0
6hrs per day,UTCOPHB_YR2_2024/5,9.0
6hrs per day,UTCOPHM_YR2_2024/5,9.0
6hrs per day,UTMPHYPHYY1F_YR2_2024/5,9.0
6hrs per day,UTPHYSB_YR2_2024/5,9.0
6hrs per day,UTPHYSM_YR2_2024/5,9.0
6hrs per day,UTGGPHYMAH_YR4_2024/5,9.0
6hrs per day,UTGGPHY_YR3_2024/5,9.0
6hrs per day,UTMAHPOPPE1F_YR2_2024/5,9.0
6hrs per day,UTLAWSG_YR4_2024/5,9.0
6hrs per day,PTMSCENVPM2P_YR1_2024/5,9.0
6hrs per day,UTACCFIMAH_YR4_2024/5,10.0
6hrs per day,PTMSCAPYHC1F_YR1_2024/5,10.0
6hrs per day,UTENLGE_YR2_2024/5,10.0
6hrs per day,UTGGPHYMAH_YR1_2024/5,10.0
6hrs per day,UTGGPHY_YR1_2024/5,10.0
6hrs per day,PTMSCORRIS1P_YR2_2024/5,10.0
6hrs per day,PTMSCORCPO1P_YR2_2024/5,10.0
6hrs per day,PTMSCORSCH1P_YR2_2024/5,10.0
6hrs per day,PTMSCFINMO1F_YR1_2024/5,10.0
6hrs per day,PTMSCCARMA2F_YR1_2024/5,10.0
6hrs per day,PTMSCGLCJS1F_YR1_2024/5,10.0
6hrs per day,PTMSCGLCJS1P_YR1_2024/5,10.0
6hrs per day,PTMSCGLCJS1P_YR2_2024/5,10.0
6hrs per day,UTTHEPHBSCH_YR3_2024/5,10.0
6hrs per day,UTTHEPHMPHYS_YR3_2024/5,10.0
6hrs per day,UTSANPO_YR1_2024/5,10.0
6hrs per day,UTMAHBUSDA1F_YR3_2024/5,10.0
6hrs per day,PTMSCECNEC1P_YR1_2024/5,10.0
6hrs per day,UTHOAAH_YR1_2024/5,10.0
6hrs per day,PTMSCAPENH1F_YR1_2024/5,10.0
6hrs per day,PTMSCENVPM2P_YR2_2024/5,10.0
6hrs per day,UTBSCMATBI1F_YR4_2024/5,10.0
6hrs per day,UTARCHB_YR1_2024/5,11.0
6hrs per day,UTARCH_YR1_2024/5,11.0
6hrs per day,UTITAEL_YR2_2024/5,11.0
6hrs per day,UTMAHPOREL1F_YR2_2024/5,11.0
6hrs per day,UTSPAEL_YR2_2024/5,11.0
6hrs per day,UTSEYSHMAH_YR2_2024/5,11.0
6hrs per day,UTBSBMG_YR4_2024/5,11.0
6hrs per day,PRMSCMGMNT1F_YR1_2024/5,11.0
6hrs per day,UTPHIPS_YR1_2024/5,11.0
6hrs per day,UTCHPHB_YR2_2024/5,11.0
6hrs per day,UTCHPHYMCHEM_YR2_2024/5,11.0
6hrs per day,UTMAPYB_YR3_2024/5,11.0
6hrs per day,UTMAPYM_YR3_2024/5,11.0
6hrs per day,UTFRESY_YR2_2024/5,11.0
6hrs per day,PTDCPCLIPC1F_YR2_2024/5,11.0
6hrs per day,UTFNEAR_YR1_2024/5,11.0
6hrs per day,UTGERHA_YR2_2024/5,11.0
